epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8172,5.96142,7.9933,4.30355,0,0,0,0,6.23178,9.00351,2.75613,0.0964,0.0004,0.0004
2,33.5899,5.85556,5.92179,4.24094,0,0,0,0,6.19833,8.68962,2.72256,0.0918911,0.00089109,0.00089109
3,47.0937,5.89662,5.55589,4.21853,0,0,0,0,6.15231,8.50793,2.67898,0.0873723,0.00137228,0.00137228
4,60.1022,5.93072,5.08435,4.10923,0,0,0,0,6.12022,8.44502,2.64986,0.0828436,0.00184357,0.00184357
5,73.0585,6.03392,5.30152,4.09386,0,0,0,0,6.08231,8.40242,2.61743,0.078305,0.00230496,0.00230496
6,85.9736,5.82611,4.93145,4.04409,0,0,0,0,6.05634,8.38392,2.59654,0.0737565,0.00275645,0.00275645
7,98.9102,5.76528,4.71707,3.94714,0,0,0,0,6.00901,8.34809,2.56052,0.069198,0.00319804,0.00319804
8,111.514,5.72365,4.64689,3.91116,0,0,0,0,5.96815,8.3175,2.53202,0.0646297,0.00362973,0.00362973
9,124.257,5.57617,4.50904,3.82799,0,0,0,0,5.91404,8.27844,2.49617,0.0600515,0.00405152,0.00405152
10,137.819,5.3323,4.4196,3.81071,0,0,0,0,5.8817,8.25353,2.47391,0.0554634,0.00446341,0.00446341
11,150.762,5.08195,4.37432,3.77379,0,0,0,0,5.85174,8.23501,2.45465,0.0508654,0.0048654,0.0048654
12,164.671,4.88661,4.31602,3.72232,0,0,0,0,5.82436,8.22059,2.4394,0.0462575,0.00525749,0.00525749
13,177.765,4.74455,4.1515,3.67754,0,0,0,0,5.81225,8.21708,2.43333,0.0416397,0.00563968,0.00563968
14,191.559,4.58385,4.20557,3.59832,0,0,0,0,5.78918,8.21061,2.42191,0.037012,0.00601197,0.00601197
15,205.877,4.66638,4.07934,3.59313,0,0,0,0,5.77077,8.20967,2.41265,0.0323744,0.00637436,0.00637436
16,219.436,4.08173,3.62268,3.2865,0,0,0,0,5.77835,8.21598,2.41578,0.0277268,0.00672685,0.00672685
17,233.589,3.11415,2.90114,3.16044,0,0,0,0,5.79571,8.23757,2.42542,0.0230694,0.00706944,0.00706944
18,246.962,2.92247,2.65574,3.21257,0,0,0,0,5.81244,8.24664,2.4345,0.0184021,0.00740213,0.00740213
19,259.958,3.03871,2.47002,2.6937,0,0,0,0,5.83594,8.27303,2.44791,0.0137249,0.00772492,0.00772492
20,274.007,2.6508,2.47152,2.51568,0,0,0,0,5.87502,8.30622,2.47311,0.00903781,0.00803781,0.00803781
21,288.181,2.42408,2.45888,2.28246,0,0,0,0,5.91159,8.31171,2.49975,0.00802,0.00802,0.00802
22,301.083,2.47791,2.2691,2.23002,0,0,0,0,5.91317,8.33851,2.49961,0.007921,0.007921,0.007921
23,319.648,2.38442,1.99432,2.00447,0,0,0,0,5.91719,8.3408,2.50694,0.007822,0.007822,0.007822
24,334.322,2.1987,1.80255,2.07656,0.00277,0.03333,0.00143,0.00043,5.49142,8.32408,2.34772,0.007723,0.007723,0.007723
25,351.513,2.14106,1.65692,1.85237,0.00548,0.06667,0.03773,0.01201,5.18047,8.27641,2.2573,0.007624,0.007624,0.007624
26,366.785,1.98335,1.79192,1.95489,0.00543,0.06667,0.03771,0.0155,4.73521,8.14004,2.08931,0.007525,0.007525,0.007525
27,382.198,2.06643,1.72728,1.89301,0.0101,0.13333,0.06302,0.02376,3.50041,7.53933,1.70973,0.007426,0.007426,0.007426
28,404.168,1.8999,1.75527,1.79398,0.40392,0.11388,0.14038,0.06031,2.37818,5.9974,1.31688,0.007327,0.007327,0.007327
29,425.254,1.94747,1.61361,1.94816,0.46597,0.11745,0.1638,0.05933,2.21953,5.86499,1.26344,0.007228,0.007228,0.007228
30,446.757,1.85212,1.56943,1.73179,0.33241,0.23333,0.1913,0.10077,1.88538,4.04225,1.12354,0.007129,0.007129,0.007129
31,468.642,1.72956,1.26577,1.66588,0.25013,0.23333,0.20888,0.08349,1.94425,3.91408,1.17858,0.00703,0.00703,0.00703
32,492.94,1.79857,1.28174,1.66597,0.25472,0.23333,0.12195,0.05599,1.89688,2.84563,1.13158,0.006931,0.006931,0.006931
33,513.085,1.75716,1.43036,1.72344,0.37963,0.2,0.14951,0.03727,2.47627,5.50153,1.36717,0.006832,0.006832,0.006832
34,531.65,1.69968,1.3966,1.60481,0.43446,0.3,0.26222,0.0683,2.43697,5.50232,1.30288,0.006733,0.006733,0.006733
35,549.989,1.52808,1.34917,1.53488,0.43853,0.16667,0.15556,0.04601,2.44078,5.09061,1.28594,0.006634,0.006634,0.006634
36,569.943,1.47618,1.19054,1.55361,0.50842,0.33333,0.27317,0.14048,1.71345,3.45793,1.03223,0.006535,0.006535,0.006535
37,589.548,1.5723,1.21095,1.52807,0.40738,0.16667,0.13292,0.02752,3.58991,6.138,1.90487,0.006436,0.006436,0.006436
38,609.774,1.56968,1.10967,1.44298,0.32223,0.16667,0.12469,0.05577,2.66877,6.79246,1.41304,0.006337,0.006337,0.006337
39,627.187,1.59693,1.14664,1.54495,0.37456,0.23333,0.15324,0.06678,2.06436,3.48692,1.15345,0.006238,0.006238,0.006238
40,647.633,1.36775,1.05826,1.40542,0.58555,0.33333,0.2442,0.08896,2.81719,5.18346,1.45674,0.006139,0.006139,0.006139
41,669.537,1.39083,1.2241,1.49057,0.42354,0.43333,0.27774,0.15719,1.49194,4.15003,0.92807,0.00604,0.00604,0.00604
42,692.264,1.4501,1.22414,1.48206,0.19541,0.06667,0.01514,0.0037,1.76712,2.55226,1.02978,0.005941,0.005941,0.005941
43,715.233,1.34196,1.17941,1.28795,0.21569,0.06667,0.03408,0.00605,1.30297,2.51293,0.87865,0.005842,0.005842,0.005842
44,735.762,1.24696,1.11101,1.3186,0.39159,0.2,0.12982,0.06543,1.89904,4.57758,1.09542,0.005743,0.005743,0.005743
45,758.312,1.421,1.03122,1.43152,0.42488,0.2,0.14659,0.07847,1.33871,1.96004,0.8946,0.005644,0.005644,0.005644
46,782.214,1.39221,0.96814,1.35264,0.43536,0.23333,0.17821,0.08355,1.73073,2.06999,1.00624,0.005545,0.005545,0.005545
47,803.521,1.3604,0.96461,1.27683,0.42166,0.2,0.11059,0.05324,1.33221,1.91719,0.89205,0.005446,0.005446,0.005446
48,827.922,1.34306,1.02766,1.35298,0.25842,0.1,0.03075,0.00722,1.6313,2.80357,0.99457,0.005347,0.005347,0.005347
49,851.69,1.33298,1.02697,1.32126,0.24021,0.06667,0.02401,0.00586,1.3395,1.81523,0.8827,0.005248,0.005248,0.005248
50,887.831,1.40416,1.04042,1.39266,0.31538,0.06667,0.02729,0.0071,1.26999,1.83972,0.85544,0.005149,0.005149,0.005149
51,914.101,1.28271,0.93023,1.23365,0.4425,0.26667,0.15393,0.06984,1.36695,1.88565,0.88852,0.00505,0.00505,0.00505
52,935.976,1.40863,0.94409,1.39478,0.4554,0.26667,0.16524,0.06642,1.33685,1.77538,0.86086,0.004951,0.004951,0.004951
53,960.191,1.18131,0.90205,1.22866,0.27202,0.1,0.03586,0.01332,1.35844,2.02749,0.86767,0.004852,0.004852,0.004852
54,986.292,1.30721,0.94189,1.30808,0.38176,0.06667,0.02862,0.00538,1.42068,1.9931,0.88486,0.004753,0.004753,0.004753
55,1013.89,1.26638,0.92317,1.32994,0.24801,0.1,0.03686,0.0161,1.28517,1.81098,0.837,0.004654,0.004654,0.004654
56,1044.65,1.15445,0.84519,1.16569,0.31667,0.06667,0.02523,0.00704,1.5388,1.9756,0.91585,0.004555,0.004555,0.004555
57,1077.17,1.12107,0.81273,1.13479,0.23865,0.06667,0.0192,0.00533,1.36479,2.08278,0.87294,0.004456,0.004456,0.004456
58,1107.62,1.1028,0.84241,1.13316,0.23184,0.06667,0.01872,0.00521,1.67436,2.64605,0.98354,0.004357,0.004357,0.004357
59,1137.46,1.14892,0.89003,1.17636,0.19639,0.06667,0.0172,0.0047,1.29479,2.04323,0.85172,0.004258,0.004258,0.004258
60,1171.88,1.11389,0.85712,1.19768,0.30866,0.06667,0.02446,0.00707,1.2758,2.14772,0.85895,0.004159,0.004159,0.004159
61,1203.33,1.1172,0.80605,1.18762,0.35506,0.06667,0.02856,0.0075,1.5034,2.3086,0.90883,0.00406,0.00406,0.00406
62,1242.23,1.05743,0.82642,1.13747,0.3468,0.06667,0.0289,0.00869,1.32027,2.18453,0.86232,0.003961,0.003961,0.003961
63,1278.84,1.0763,0.80111,1.19406,0.27159,0.06667,0.02062,0.0081,1.35471,1.80036,0.85784,0.003862,0.003862,0.003862
64,1309.69,1.12046,0.83746,1.14874,0.2806,0.06667,0.02356,0.0078,1.49438,2.48725,0.93264,0.003763,0.003763,0.003763
65,1345.94,1.0008,0.81907,1.15217,0.21583,0.06667,0.01797,0.00687,1.41909,1.78887,0.85427,0.003664,0.003664,0.003664
66,1390.93,1.00031,0.78666,1.11572,0.58738,0.4,0.29937,0.19199,1.10025,1.63094,0.77659,0.003565,0.003565,0.003565
67,1431.2,1.05836,0.81617,1.14376,0.27431,0.06667,0.024,0.00912,1.26989,1.83796,0.81071,0.003466,0.003466,0.003466
68,1470.94,1.15481,0.81968,1.13688,0.46691,0.43333,0.29412,0.18512,1.05898,1.73157,0.77972,0.003367,0.003367,0.003367
69,1517.97,1.51287,1.29087,1.35059,0.528,0.4,0.28548,0.1844,1.06033,1.69036,0.754,0.003268,0.003268,0.003268
70,1593.83,0.91746,0.8269,1.09109,0.24494,0.06667,0.01868,0.00704,1.22337,1.63596,0.80984,0.003169,0.003169,0.003169
71,1646.75,1.56509,1.26687,1.47363,0.37921,0.06667,0.02746,0.01064,1.33702,1.94274,0.84778,0.00307,0.00307,0.00307
72,1679.6,1.07538,0.79752,1.11059,0.31658,0.06667,0.02759,0.00825,1.33996,2.26677,0.85371,0.002971,0.002971,0.002971
73,1717.13,0.97803,0.73356,1.06773,0.29893,0.06667,0.02262,0.00794,1.35278,2.17289,0.86017,0.002872,0.002872,0.002872
74,1750.23,1.05895,0.79688,1.14124,0.32651,0.06667,0.02746,0.00851,1.33064,2.08378,0.852,0.002773,0.002773,0.002773
75,1779.69,0.99966,0.80775,1.06009,0.24214,0.06667,0.01756,0.00738,1.14996,1.73088,0.78677,0.002674,0.002674,0.002674
76,1808.86,0.97377,0.74473,1.11201,0.277,0.06667,0.0202,0.00918,1.11494,1.86956,0.78565,0.002575,0.002575,0.002575
77,1847.8,0.95869,0.73718,1.09003,0.31078,0.06667,0.02261,0.00898,1.23703,1.97642,0.82219,0.002476,0.002476,0.002476
78,1881.25,1.48813,1.17706,1.33069,0.37778,0.06667,0.02691,0.00942,1.44526,2.38878,0.8882,0.002377,0.002377,0.002377
79,1908.3,0.90494,0.68844,1.07229,0.31329,0.06667,0.02247,0.00898,1.37565,2.43087,0.87153,0.002278,0.002278,0.002278
80,1937.63,1.00275,0.7344,1.03926,0.31101,0.06667,0.02252,0.00898,1.30591,2.31235,0.85284,0.002179,0.002179,0.002179
81,1979.14,0.94779,0.73216,1.04491,0.31254,0.06667,0.0232,0.01018,1.36922,2.25028,0.85493,0.00208,0.00208,0.00208
82,2003.23,0.96197,0.76071,1.07183,0.27102,0.06667,0.02048,0.00942,1.33677,2.22195,0.851,0.001981,0.001981,0.001981
83,2031.25,0.96042,0.74305,1.10758,0.30286,0.1,0.04116,0.01993,1.15382,1.95678,0.79114,0.001882,0.001882,0.001882
84,2069.07,0.91771,0.71262,1.05547,0.36939,0.06667,0.03377,0.00994,1.4384,2.80327,0.91195,0.001783,0.001783,0.001783
85,2101.04,0.95322,0.75709,1.08396,0.37628,0.06667,0.03349,0.01312,1.5139,2.82381,0.92881,0.001684,0.001684,0.001684
86,2128.56,0.95363,0.71961,1.04264,0.23648,0.06667,0.01982,0.01011,1.30854,2.07922,0.84012,0.001585,0.001585,0.001585
87,2152.72,0.88771,0.68869,1.05721,0.3718,0.06667,0.03037,0.01485,1.35799,2.50592,0.8561,0.001486,0.001486,0.001486
88,2187.89,0.86584,0.7244,1.03601,0.21142,0.06667,0.0158,0.00792,1.09953,1.68174,0.75261,0.001387,0.001387,0.001387
89,2213.95,1.00184,0.78843,1.17014,0.2397,0.06667,0.01756,0.00823,1.07267,1.67192,0.75143,0.001288,0.001288,0.001288
90,2235.43,0.84709,0.68653,0.99492,0.49929,0.43215,0.31012,0.19209,1.00169,1.51399,0.72542,0.001189,0.001189,0.001189
91,2301.45,1.30609,1.43409,1.31353,0.41588,0.2,0.10928,0.07363,0.96117,1.40305,0.70741,0.00109,0.00109,0.00109
92,2342.19,1.38311,1.40968,1.36761,0.21162,0.06667,0.01543,0.00821,1.20247,2.01291,0.78475,0.000991,0.000991,0.000991
93,2378.61,0.93534,0.81937,1.1233,0.3905,0.2,0.12073,0.08721,1.0893,1.94946,0.74692,0.000892,0.000892,0.000892
94,2422.5,1.41662,1.3416,1.43309,0.24095,0.06667,0.01922,0.01083,1.09005,2.17,0.7521,0.000793,0.000793,0.000793
95,2457.53,0.85971,0.82529,1.06793,0.22047,0.06667,0.02072,0.01022,0.95821,1.72572,0.7115,0.000694,0.000694,0.000694
96,2488.49,0.78982,0.77539,0.98753,0.49119,0.4,0.26421,0.19168,0.94751,1.5054,0.70616,0.000595,0.000595,0.000595
97,2520.51,0.8238,0.78768,1.07609,0.52451,0.36667,0.27127,0.19839,0.98467,1.48715,0.7132,0.000496,0.000496,0.000496
98,2556.41,0.75368,0.74185,0.98417,0.38684,0.46667,0.26606,0.18576,1.00287,1.47448,0.71895,0.000397,0.000397,0.000397
99,2591.75,0.84954,0.78028,1.01581,0.40403,0.46667,0.26896,0.18724,0.98712,1.46006,0.71717,0.000298,0.000298,0.000298
100,2618.47,0.83047,0.7402,1.04326,0.41205,0.5,0.29309,0.20279,0.96441,1.41051,0.71489,0.000199,0.000199,0.000199
